id,name,gender,type,category_id,category_name
sr:competition:3323,"ATP Challenger Caltanissetta, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3327,"ATP Challenger Cherbourg, France Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3329,"ATP Challenger Cherbourg, France Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3343,"ATP Challenger Kazan, Russia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3345,"ATP Challenger Kazan, Russia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3349,"ATP Challenger Kyoto, Japan Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3351,"ATP Challenger Kyoto, Japan Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3367,"ATP Challenger Meknes, Morocco Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3369,"ATP Challenger Meknes, Morocco Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3379,"ATP Challenger San Luis Potosi, Mexico Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3381,"ATP Challenger San Luis Potosi, Mexico Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3391,"ATP Challenger St. Brieuc, France Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3393,"ATP Challenger St. Brieuc, France Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3425,"ATP Challenger Biella, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3427,"ATP Challenger Biella, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3431,"ATP Challenger Blumenau, Brazil Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3433,"ATP Challenger Blumenau, Brazil Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3437,"ATP Challenger Bordeaux, France Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3439,"ATP Challenger Bordeaux, France Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3447,"ATP Challenger Busan, Korea Republic Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3449,"ATP Challenger Busan, Korea Republic Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3453,"ATP Challenger Cairo, Egypt Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3455,"ATP Challenger Cairo, Egypt Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3469,"ATP Challenger Fergana, Uzbekistan Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3471,"ATP Challenger Fergana, Uzbekistan Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3475,"ATP Challenger Furth, Germany Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3477,"ATP Challenger Furth, Germany Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3481,"ATP Challenger Leon, Mexico Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3483,"ATP Challenger Leon, Mexico Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3493,"ATP Challenger Monza, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3495,"ATP Challenger Monza, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3499,"ATP Challenger Ostrava, Czech Republic Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3501,"ATP Challenger Ostrava, Czech Republic Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3505,"ATP Challenger Pereira, Colombia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3507,"ATP Challenger Pereira, Colombia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3511,"ATP Challenger Prostejov, Czech Republic Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3513,"ATP Challenger Prostejov, Czech Republic Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3525,"ATP Challenger San Remo, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3529,"ATP Challenger Sarasota, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3531,"ATP Challenger Sarasota, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3535,"ATP Challenger Savannah, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3537,"ATP Challenger Savannah, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3541,"ATP Challenger Tallahassee, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3543,"ATP Challenger Tallahassee, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3547,"ATP Challenger Tunis, Tunisia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3549,"ATP Challenger Tunis, Tunisia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3553,"ATP Challenger Aptos, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3555,"ATP Challenger Aptos, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3571,"ATP Challenger Braunschweig, Germany Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3573,"ATP Challenger Braunschweig, Germany Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3581,"ATP Challenger Cordenons, Italy Men Singles",men,singles,sr:category:72,Challenger
